Date,Hacks,Pessimistic/Doubtful,Banks,Selling,Market_manipulation,(De-)centralisation,Angry,ETF,Leverage,Bottom,Institutional_money,FOMO,Prediction,Adoption,Fearful/Concerned,Portfolio,FUD_theme,Whitepaper,Announcements,Technical_analysis,Flippening,Community,Investing/Trading,Euphoric/Excited,Hodling,ICO,Bearish,Going_short,Uncertain,Volume,Risk,Governance,Ban,Cheap,Short_term_trading,Fork,Progress,Shilling,Bullish,Happy,Bubble,Bots,Hopeful,Bug,Open_source,Token_economics,Security,Marketing,Bad_news,Due_diligence,Team,Partnerships,Pump_and_dump,Sad,Panicking,Listing,Regulation/Politics,Dip,Launch,FOMO_theme,Advice/Support,Rebranding,Wallet,Good_news,Problems_and_issues,Mining,Waiting,Learning,Scaling,Fees,Roadmap,Recovery,Technology,Mistrustful,Marketcap,Positive,Tax,Long_term_investing,Strategy,Competition,Whales,Correction,Stablecoin,Buying,Warning,Annoyed/Frustrated,Price,Use_case/Applications,Rumor,Scam/Fraud,Airdrop,Optimistic,Negative,scores
2019-01-20,0.0,2.0,0.0,10.0,2.0,19.0,2.0,5.0,1.0,1.0,1.0,1.0,46.0,24.0,1.0,2.0,1.0,1.0,6.0,37.0,0.0,7.0,74.0,9.0,0.0,8.0,16.0,6.0,20.0,23.0,1.0,0.0,0.0,3.0,16.0,18.0,10.0,0.0,36.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,8.0,1.0,21.0,24.0,14.0,0.0,0.0,1.0,0.0,14.0,6.0,0.0,5.0,0.0,29.0,0.0,5.0,51.0,4.0,29.0,5.0,3.0,1.0,1.0,4.0,0.0,90.0,2.0,3.0,65.0,1.0,52.0,1.0,29.0,0.0,0.0,1.0,12.0,1.0,0.0,139.0,13.0,1.0,3.0,4.0,12.0,51.0,-0.3403
2019-01-21,3.0,3.0,9.0,3.0,0.0,19.0,0.0,4.0,0.0,2.0,2.0,2.0,32.0,41.0,0.0,0.0,1.0,0.0,5.0,36.0,0.0,8.0,54.0,18.0,3.0,16.0,12.0,4.0,14.0,13.0,5.0,0.0,9.0,0.0,12.0,10.0,16.0,1.0,19.0,3.0,0.0,2.0,8.0,3.0,1.0,4.0,12.0,5.0,21.0,32.0,23.0,1.0,0.0,0.0,0.0,11.0,9.0,1.0,2.0,1.0,49.0,0.0,6.0,90.0,9.0,42.0,1.0,13.0,2.0,1.0,0.0,0.0,141.0,2.0,1.0,67.0,0.0,56.0,1.0,39.0,1.0,4.0,1.0,7.0,2.0,1.0,120.0,32.0,0.0,11.0,0.0,15.0,68.0,0.005566666666666682
2019-01-22,1.0,2.0,1.0,8.0,1.0,9.0,1.0,0.0,1.0,1.0,1.0,1.0,23.0,28.0,0.0,0.0,0.0,2.0,1.0,21.0,0.0,4.0,44.0,8.0,0.0,13.0,5.0,2.0,10.0,24.0,3.0,0.0,1.0,2.0,9.0,10.0,9.0,1.0,19.0,2.0,0.0,3.0,5.0,0.0,0.0,6.0,3.0,2.0,14.0,21.0,9.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,3.0,0.0,23.0,0.0,4.0,57.0,7.0,14.0,3.0,5.0,1.0,1.0,1.0,0.0,64.0,0.0,1.0,40.0,0.0,36.0,0.0,26.0,0.0,0.0,1.0,4.0,0.0,0.0,90.0,21.0,1.0,11.0,1.0,14.0,45.0,0.06743333333333333
2019-01-23,2.0,2.0,0.0,17.0,1.0,12.0,3.0,10.0,2.0,2.0,3.0,3.0,45.0,47.0,2.0,6.0,0.0,2.0,5.0,39.0,0.0,11.0,78.0,17.0,0.0,10.0,11.0,14.0,11.0,15.0,5.0,1.0,0.0,2.0,11.0,10.0,25.0,1.0,27.0,2.0,2.0,4.0,5.0,1.0,0.0,4.0,9.0,2.0,14.0,35.0,19.0,1.0,0.0,2.0,0.0,11.0,7.0,1.0,11.0,2.0,41.0,1.0,8.0,71.0,10.0,26.0,4.0,13.0,3.0,3.0,0.0,1.0,125.0,0.0,7.0,68.0,0.0,62.0,1.0,34.0,0.0,1.0,1.0,12.0,0.0,1.0,160.0,34.0,2.0,7.0,2.0,14.0,59.0,0.044966666666666676
2019-01-24,6.0,3.0,5.0,13.0,2.0,12.0,1.0,7.0,0.0,3.0,2.0,3.0,62.0,49.0,1.0,5.0,1.0,1.0,4.0,51.0,0.0,11.0,82.0,18.0,1.0,16.0,15.0,2.0,27.0,16.0,1.0,0.0,5.0,0.0,30.0,6.0,18.0,4.0,31.0,5.0,0.0,2.0,7.0,2.0,0.0,2.0,4.0,1.0,12.0,35.0,20.0,2.0,1.0,0.0,0.0,12.0,6.0,0.0,7.0,0.0,50.0,0.0,23.0,87.0,10.0,28.0,6.0,8.0,3.0,4.0,4.0,0.0,117.0,0.0,3.0,93.0,1.0,63.0,0.0,40.0,0.0,0.0,1.0,10.0,1.0,0.0,177.0,42.0,1.0,14.0,3.0,16.0,69.0,0.10365
2019-01-25,5.0,1.0,0.0,17.0,0.0,11.0,4.0,1.0,0.0,6.0,4.0,0.0,47.0,58.0,2.0,4.0,1.0,0.0,8.0,36.0,0.0,8.0,65.0,16.0,0.0,13.0,11.0,12.0,23.0,13.0,3.0,0.0,0.0,0.0,16.0,10.0,20.0,1.0,32.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,13.0,22.0,27.0,8.0,0.0,2.0,0.0,10.0,7.0,0.0,5.0,0.0,39.0,2.0,4.0,90.0,8.0,25.0,7.0,8.0,2.0,4.0,0.0,1.0,121.0,0.0,3.0,70.0,0.0,57.0,0.0,29.0,0.0,0.0,0.0,10.0,1.0,1.0,165.0,28.0,0.0,15.0,2.0,13.0,46.0,-0.3147333333333333
2019-01-26,3.0,0.0,2.0,10.0,0.0,16.0,3.0,1.0,2.0,4.0,4.0,0.0,36.0,52.0,3.0,4.0,0.0,1.0,2.0,34.0,0.0,11.0,64.0,9.0,0.0,11.0,9.0,7.0,16.0,19.0,1.0,0.0,2.0,0.0,9.0,10.0,13.0,0.0,22.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,12.0,0.0,15.0,24.0,19.0,2.0,0.0,2.0,0.0,15.0,9.0,4.0,3.0,0.0,46.0,0.0,5.0,59.0,7.0,20.0,5.0,7.0,4.0,8.0,1.0,0.0,109.0,2.0,3.0,70.0,0.0,57.0,1.0,30.0,0.0,1.0,1.0,5.0,1.0,0.0,157.0,24.0,0.0,5.0,0.0,21.0,66.0,0.21075
2019-01-27,0.0,2.0,3.0,5.0,0.0,24.0,2.0,0.0,0.0,1.0,0.0,4.0,39.0,22.0,2.0,0.0,0.0,0.0,3.0,39.0,0.0,12.0,50.0,15.0,1.0,12.0,6.0,8.0,18.0,17.0,3.0,0.0,3.0,0.0,20.0,3.0,7.0,0.0,25.0,4.0,0.0,3.0,2.0,0.0,0.0,4.0,8.0,0.0,11.0,18.0,6.0,1.0,0.0,0.0,0.0,12.0,10.0,1.0,3.0,3.0,28.0,0.0,14.0,43.0,3.0,24.0,3.0,2.0,0.0,3.0,2.0,0.0,68.0,0.0,1.0,59.0,0.0,37.0,1.0,20.0,3.0,2.0,3.0,6.0,0.0,1.0,141.0,20.0,1.0,10.0,0.0,12.0,53.0,0.15593333333333334
2019-01-28,1.0,4.0,3.0,29.0,6.0,26.0,5.0,0.0,0.0,7.0,0.0,2.0,63.0,44.0,2.0,3.0,3.0,1.0,4.0,57.0,0.0,12.0,122.0,15.0,1.0,13.0,31.0,24.0,29.0,17.0,5.0,0.0,3.0,2.0,25.0,5.0,14.0,1.0,35.0,3.0,0.0,2.0,6.0,1.0,0.0,4.0,8.0,5.0,17.0,21.0,19.0,2.0,0.0,0.0,1.0,16.0,11.0,3.0,4.0,0.0,63.0,0.0,5.0,68.0,9.0,35.0,7.0,7.0,3.0,1.0,1.0,0.0,98.0,0.0,4.0,68.0,0.0,61.0,1.0,42.0,6.0,0.0,1.0,26.0,6.0,0.0,210.0,25.0,1.0,9.0,1.0,15.0,83.0,0.04644999999999999
2019-01-29,7.0,4.0,2.0,11.0,2.0,18.0,1.0,3.0,3.0,7.0,1.0,5.0,46.0,50.0,3.0,7.0,1.0,0.0,3.0,52.0,1.0,10.0,91.0,15.0,4.0,9.0,19.0,6.0,27.0,17.0,13.0,1.0,2.0,1.0,21.0,16.0,20.0,0.0,28.0,2.0,1.0,1.0,7.0,2.0,2.0,4.0,21.0,0.0,14.0,31.0,34.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,9.0,0.0,81.0,0.0,18.0,93.0,15.0,32.0,5.0,11.0,4.0,11.0,2.0,1.0,156.0,0.0,4.0,79.0,2.0,71.0,1.0,50.0,0.0,0.0,1.0,12.0,1.0,0.0,176.0,39.0,1.0,10.0,0.0,18.0,99.0,-0.074
2019-01-30,6.0,2.0,4.0,13.0,1.0,21.0,1.0,0.0,1.0,11.0,0.0,2.0,70.0,68.0,3.0,3.0,1.0,2.0,3.0,49.0,1.0,12.0,90.0,25.0,0.0,9.0,15.0,6.0,32.0,31.0,6.0,0.0,4.0,1.0,13.0,6.0,28.0,2.0,38.0,1.0,1.0,2.0,9.0,0.0,1.0,4.0,13.0,2.0,17.0,31.0,22.0,2.0,0.0,1.0,0.0,10.0,10.0,1.0,7.0,1.0,53.0,0.0,18.0,91.0,8.0,33.0,7.0,16.0,2.0,4.0,1.0,0.0,139.0,1.0,6.0,108.0,0.0,72.0,0.0,54.0,0.0,2.0,4.0,16.0,3.0,0.0,188.0,30.0,1.0,13.0,1.0,25.0,77.0,-0.22252500000000003
2019-01-31,1.0,5.0,7.0,30.0,2.0,31.0,7.0,2.0,0.0,5.0,0.0,2.0,68.0,73.0,5.0,7.0,2.0,1.0,7.0,33.0,2.0,17.0,108.0,36.0,3.0,11.0,10.0,7.0,40.0,19.0,12.0,0.0,7.0,2.0,19.0,9.0,37.0,0.0,48.0,6.0,1.0,3.0,6.0,5.0,5.0,8.0,25.0,2.0,25.0,33.0,29.0,11.0,0.0,0.0,0.0,17.0,10.0,2.0,11.0,0.0,78.0,0.0,6.0,158.0,11.0,29.0,7.0,9.0,10.0,9.0,5.0,0.0,208.0,0.0,12.0,138.0,0.0,66.0,0.0,58.0,1.0,0.0,13.0,18.0,1.0,1.0,185.0,63.0,2.0,15.0,1.0,38.0,124.0,-0.11333333333333334
